"id","content_type_id","codename","name"
"1","1","add_logentry","Can add log entry"
"2","1","change_logentry","Can change log entry"
"3","1","delete_logentry","Can delete log entry"
"4","1","view_logentry","Can view log entry"
"5","2","add_permission","Can add permission"
"6","2","change_permission","Can change permission"
"7","2","delete_permission","Can delete permission"
"8","2","view_permission","Can view permission"
"9","3","add_group","Can add group"
"10","3","change_group","Can change group"
"11","3","delete_group","Can delete group"
"12","3","view_group","Can view group"
"13","4","add_user","Can add user"
"14","4","change_user","Can change user"
"15","4","delete_user","Can delete user"
"16","4","view_user","Can view user"
"17","5","add_contenttype","Can add content type"
"18","5","change_contenttype","Can change content type"
"19","5","delete_contenttype","Can delete content type"
"20","5","view_contenttype","Can view content type"
"21","6","add_session","Can add session"
"22","6","change_session","Can change session"
"23","6","delete_session","Can delete session"
"24","6","view_session","Can view session"
"25","7","add_country","Can add Pays"
"26","7","change_country","Can change Pays"
"27","7","delete_country","Can delete Pays"
"28","7","view_country","Can view Pays"
"29","8","add_church","Can add Church"
"30","8","change_church","Can change Church"
"31","8","delete_church","Can delete Church"
"32","8","view_church","Can view Church"
"33","9","add_meeting","Can add meeting"
"34","9","change_meeting","Can change meeting"
"35","9","delete_meeting","Can delete meeting"
"36","9","view_meeting","Can view meeting"
"37","10","add_event","Can add Événement"
"38","10","change_event","Can change Événement"
"39","10","delete_event","Can delete Événement"
"40","10","view_event","Can view Événement"
"41","11","add_member","Can add Membre"
"42","11","change_member","Can change Membre"
"43","11","delete_member","Can delete Membre"
"44","11","view_member","Can view Membre"
"45","12","add_role","Can add Rôle"
"46","12","change_role","Can change Rôle"
"47","12","delete_role","Can delete Rôle"
"48","12","view_role","Can view Rôle"
"49","13","add_department","Can add Département"
"50","13","change_department","Can change Département"
"51","13","delete_department","Can delete Département"
"52","13","view_department","Can view Département"
"53","14","add_departmentmember","Can add Membre de département"
"54","14","change_departmentmember","Can change Membre de département"
"55","14","delete_departmentmember","Can delete Membre de département"
"56","14","view_departmentmember","Can view Membre de département"
"57","15","add_collectiontype","Can add Type de collecte"
"58","15","change_collectiontype","Can change Type de collecte"
"59","15","delete_collectiontype","Can delete Type de collecte"
"60","15","view_collectiontype","Can view Type de collecte"
"61","16","add_paymentmethod","Can add Méthode de paiement"
"62","16","change_paymentmethod","Can change Méthode de paiement"
"63","16","delete_paymentmethod","Can delete Méthode de paiement"
"64","16","view_paymentmethod","Can view Méthode de paiement"
"65","17","add_collection","Can add Collecte"
"66","17","change_collection","Can change Collecte"
"67","17","delete_collection","Can delete Collecte"
"68","17","view_collection","Can view Collecte"
"69","18","add_attendance","Can add Présence"
"70","18","change_attendance","Can change Présence"
"71","18","delete_attendance","Can delete Présence"
"72","18","view_attendance","Can view Présence"
"73","19","add_audiences","Can add Audience"
"74","19","change_audiences","Can change Audience"
"75","19","delete_audiences","Can delete Audience"
"76","19","view_audiences","Can view Audience"
"77","20","add_historicalmember","Can add historical Membre"
"78","20","change_historicalmember","Can change historical Membre"
"79","20","delete_historicalmember","Can delete historical Membre"
"80","20","view_historicalmember","Can view historical Membre"
"81","21","add_historicalcollection","Can add historical Collecte"
"82","21","change_historicalcollection","Can change historical Collecte"
"83","21","delete_historicalcollection","Can delete historical Collecte"
"84","21","view_historicalcollection","Can view historical Collecte"
"85","22","add_promotion","Can add Promotion"
"86","22","change_promotion","Can change Promotion"
"87","22","delete_promotion","Can delete Promotion"
"88","22","view_promotion","Can view Promotion"
"89","23","add_module","Can add Module"
"90","23","change_module","Can change Module"
"91","23","delete_module","Can delete Module"
"92","23","view_module","Can view Module"
"93","24","add_session","Can add Session"
"94","24","change_session","Can change Session"
"95","24","delete_session","Can delete Session"
"96","24","view_session","Can view Session"
